Eta,Average Fractal Dimension,Standard Deviation
0.1,1.550650831943095,0.04511336869496794
0.2,1.5411610740005128,0.04632340872014833
0.30000000000000004,1.5208337610827605,0.05735805904123247
0.4,1.4840283517375996,0.06976795340142958
0.5,1.4759976929258154,0.03701031207474977
0.6,1.4691307446061028,0.0662956945409606
0.7000000000000001,1.4771812496744585,0.08137874739551963
0.8,1.4053220075220545,0.03925765582840607
0.9,1.407138573649282,0.05242078946560188
1.0,1.3999737599446984,0.04359316025692223
1.1,1.3705486642917306,0.06950513919687307
1.2000000000000002,1.3546245110305908,0.041145284343030365
1.3000000000000003,1.3170082172479571,0.045867065612875756
1.4000000000000001,1.3131152991343389,0.035736643906403937
1.5000000000000002,1.2918916441334265,0.04128259427007952
1.6,1.253793338960853,0.0342130266856793
1.7000000000000002,1.267148498794759,0.03145892063801542
1.8000000000000003,1.226424715846538,0.04204297773491968
1.9000000000000001,1.2152479782725538,0.05211819029998456
2.0,1.1944945317518818,0.020398976370855904
2.1,1.1824764753456596,0.024275270530187708
2.2,1.1953095394784485,0.017243809564241635
